Id;Default;de;en
1409;Network device Wago;Netzwerk Gerät Wago;Network device Wago
1410;Toolbox Wago;Werkzeugkasten Wago;Toolbox Wago
1411;Project Info Wago;Projektinformation Wago;Project Info Wago
1412;Configuration Info Wago;Konfigurationsinformation Wago;Configuration Info Wago
1500;Read Wago;Lesen Wago;Read Wago
1501;Compare Wago;Vergleichen Wago;Compare Wago
1502;Write Wago;Schreiben Wago;Write Wago
1503;Write all Wago;Alle schreiben Wago;Write all Wago
1504;Parameter refresh Wago;Parameter aktualisieren Wago;Parameter refresh Wago
1505;Synchronise Wago;Synchronisieren Wago;Synchronise Wago
1413;Settings Wago;Einstellungen Wago;Settings Wago
1414;Module Wago;Klemme Wago;Module Wago
1415;Project Settings Wago;Projekteinstellungen Wago;Project Settings Wago
414;Start Locate Wago;Lokalisierung starten Wago;Start Locate Wago
415;Stop Locate Wago;Lokalisierung stoppen Wago;Stop Locate Wago
1416;Configuration Wago;Konfiguration Wago;Configuration Wago
100;Checkbox Checked Default Wago;Checkbox ausgewählt Default Wago;Checkbox Checked Default Wago
101;Checkbox Unchecked Default Wago;Checkbox abgewählt Default Wago;Checkbox Unchecked Default Wago
110;Checkbox Checked White Wago;Checkbox ausgewählt White Wago;Checkbox Checked White Wago
111;Checkbox Unchecked White Wago;Checkbox abgewählt White Wago;Checkbox Unchecked White Wago
112;Checkbox Checked Gray White Wago;Checkbox ausgewählt grau White Wago;Checkbox Checked Gray White Wago
113;Checkbox Checked Green White Wago;Checkbox ausgewählt grün White Wago;Checkbox Checked Green White Wago
114;Checkbox Checked Red White Wago;Checkbox ausgewählt rot White Wago;Checkbox Checked Red White Wago
115;Checkbox Checked Yellow White Wago;Checkbox ausgewählt gelb White Wago;Checkbox Checked Yellow White Wago
120;Checkbox Checked Flat Wago;Checkbox ausgewählt Flat Wago;Checkbox Checked Flat Wago
121;Checkbox Unchecked Flat Wago;Checkbox abgewählt Flat Wago;Checkbox Unchecked Flat Wago
122;Checkbox Checked Gray Flat Wago;Checkbox ausgewählt grau Flat Wago;Checkbox Checked Gray Flat Wago
123;Checkbox Checked Green Flat Wago;Checkbox ausgewählt grün Flat Wago;Checkbox Checked Green Flat Wago
124;Checkbox Checked Red Flat Wago;Checkbox ausgewählt rot Flat Wago;Checkbox Checked Red Flat Wago
125;Checkbox Checked Yellow Flat Wago;Checkbox ausgewählt gelb Flat Wago;Checkbox Checked Yellow Flat Wago
130;Checkbox Checked Basic Common Wago;Checkbox ausgewählt Basic Common Wago;Checkbox Checked Basic Common Wago
131;Checkbox Unchecked Basic Common Wago;Checkbox abgewählt Basic Common Wago;Checkbox Unchecked Basic Common Wago
140;Checkbox Checked Default Var. 2 Wago;Checkbox ausgewählt Default Var. 2 Wago;Checkbox Checked Default Var. 2 Wago
141;Checkbox Unchecked Default Var. 2 Wago;Checkbox abgewählt Default Var. 2 Wago;Checkbox Unchecked Default Var. 2 Wago
1104;Modbus Wago;Modbus Wago;Modbus Wago
2100;Play green Wago;Play grün Wago;Play green Wago
2110;Stop red Wago;Stopp rot Wago;Stop red Wago
2120;Pause red Wago;Pause rot Wago;Pause red Wago
2121;Pause gray Wago;Pause grau Wago;Pause gray Wago
1417;Logout Wago;Ausloggen Wago;Logout Wago
2200;Transfer settings Wago;Einstellungen Übertragen Wago;Transfer settings Wago
2201;Factory default Wago;Werkseinstellung Wago;Factory default Wago
2202;Delete 3 Wago;Löschen 3 Wago;Delete 3 Wago
2203;Start Wago;Start Wago;Start Wago
2204;Start active Wago;Start aktiv Wago;Start active Wago
2205;Re-start active Wago;Neustart aktiv Wago;Re-start active Wago
2206;Re-start Wago;Neustart Wago;Re-start Wago
2207;Stop red Wago;Stopp rot Wago;Stop red Wago
2208;Stop black Wago;Stopp schwarz Wago;Stop black Wago
2209;Addressing Wago;Adressierung Wago;Adressing Wago
2210;Auto addessing Wago;Automatische Adressierung Wago;Auto addressing Wago
2211;Gear Wago;Antrieb Wago;Gear Wago
2212;Gear run Wago;Fahrbefehle Wago;Gear run Wago
2213;Scan Wago;Abfrage Wago;Scan Wago
2214;Settings Wago;Konfiguration Wago;Settings Wago
2215;System expansion Wago;Systemerweiterung Wago;System expansion Wago
2006;Datapoint Wago;Datenpunkt Wago;Datapoint Wago
2007;Dynamic datapoint Wago;Dynamischer Datenpunkt Wago;Dynamic datapoint Wago
1418;License Wago;Lizenz Wago;License Wago
2300;BACnet priority override;BACnet priorisierte Übersteuerung;BACnet priority override
2301;BACnet fault red;BACnet Fehler rot;BACnet fault red
2302;BACnet fault grey;BACnet Fehler grau;BACnet fault grey
2303;BACnet refresh green;BACnet aktualisieren grün;BACnet refresh green
2304;BACnet refresh grey;BACnet aktualisieren grau;BACnet refresh grey
2306;BACnet StatusFlag Fault hot;;BACnet StatusFlag Fault hot
2305;BACnet StatusFlag InAlarm hot;;BACnet StatusFlag InAlarm hot
2307;BACnet StatusFlag ManualOverride hot;;BACnet StatusFlag ManualOverride hot
2308;BACnet StatusFlag OutOfService hot;;BACnet StatusFlag OutOfService hot
2309;BACnet status warning hot;BACnet Status Warnung hot;BACnet status warning hot
0;Placeholder;Platzhalter;placeholder
;;;
